sample_id,latitude,longitude,spatial_block_id,regional_zone_id,label_status,manganese_associated,data_quality_flag,feature_distribution_distance,distance_to_nearest_known_manganese_occurrence_km,geological_group,geological_formation,stratigraphic_unit,lithology,host_rock,ore_host_compatibility_score,formation_contact_distance_km,geological_age_ma,metamorphic_grade,weathering_class,alteration_intensity,geological_complexity_score,distance_to_fault_km,distance_to_lineament_km,lineament_density_per_sq_km,lineament_intersection_density,shear_zone_proximity_km,structural_complexity_score,fold_position,fold_hinge_proximity_km,structural_orientation,distance_to_major_geological_contact_km,drainage_anomaly_score,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,curvature,terrain_ruggedness,local_relief_m,drainage_density,topographic_position_index,valley_or_ridge_class,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,MNDWI,BSI,B4_B2_ratio,B11_B12_ratio,B12_B8_ratio,B11_B8_ratio,gossan_alteration_index,red_edge_ratio_1,red_edge_ratio_2,VV,VH,VV_VH_ratio,radar_backscatter_mean,radar_texture,radar_roughness_proxy,aster_vnir_swir_proxy,aster_thermal_lithology_proxy,multisensor_spectral_anomaly_score
SAU-004340,21.59203,79.82479,BLK_012_009,ZONE_05,UNLABELLED,not_documented,ok,2.41962,8.70851,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),,Biotite-muscovite schist/gneiss and biotite granulite,0.3578,1.06593,1800.47669,granulite facies,highly weathered / lateritic,0.2501,0.4106,2.65169,1.62814,0.92409,0.8711,13.06462,0.5663,limb,5.10914,ENE-WSW,3.50465,0.5806,461.70186,10.40549,316.29992,-0.69088,0.72297,-0.0425,9.71743,36.59914,1.21906,1.06895,slope,0.06249,0.08708,0.07297,0.10352,0.19064,0.28028,0.26897,0.2991,0.42099,0.33535,0.5732,-0.22033,-0.65721,0.19687,1.16771,1.25537,1.24679,1.56519,1.49026,1.84158,2.7075,-12.08622,-19.69561,7.60939,-15.89091,0.18131,0.9401,0.67519,0.9315,0.3329
SAU-004341,21.79918,80.24432,BLK_016_017,ZONE_03,UNCERTAIN,ambiguous,ok,1.67459,4.71925,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.3701,2.35201,1966.40703,high (upper amphibolite),highly weathered / lateritic,0.3761,0.3986,0.07541,0.01983,1.31982,0.76219,0.9152,0.4654,not_applicable,10.2028,N-S,4.06323,0.8034,484.26514,6.96534,138.2811,0.66548,-0.74642,0.1834,10.64526,50.52444,1.44826,2.55498,slope,0.07418,0.083,0.06619,0.09175,0.24471,0.27431,0.31331,0.30243,0.1785,0.12065,0.65117,0.27411,-0.3652,-0.22589,0.89229,1.47949,0.38508,0.56972,0.63147,2.66714,2.98975,-8.74788,-17.58067,8.83279,-13.16428,0.70636,0.7901,0.45664,0.9321,0.5069
SAU-004342,21.71501,80.17382,BLK_015_016,ZONE_03,UNLABELLED,not_documented,ok,2.59107,9.4458,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.0,11.61621,2454.21135,granulite facies,fresh / slightly weathered,0.224,,3.27357,2.68468,1.31895,0.42684,4.33933,0.5871,not_applicable,17.20634,ENE-WSW,7.79432,0.1205,448.74125,4.33168,140.56309,0.63523,-0.77232,0.0805,12.2559,53.57045,1.29334,-5.30119,valley,0.05251,0.09349,0.05162,0.10524,0.26257,0.27779,0.32839,0.33736,0.15502,0.08303,0.72832,0.35864,-0.2476,-0.29659,0.98305,1.86704,0.25284,0.47206,0.5425,2.49496,2.63959,-8.34518,-14.98016,6.63498,-11.66267,0.82934,1.13489,0.1235,1.0,0.426
SAU-004343,21.70671,79.83612,BLK_015_009,ZONE_05,UNLABELLED,not_documented,ok,3.56229,2.05521,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],1.0,0.05797,1697.4445,high (upper amphibolite),fresh / slightly weathered,0.4345,0.6953,1.39492,0.91163,1.92859,1.01236,7.46736,0.4928,not_applicable,14.22894,NW-SE,1.83231,0.6861,295.73217,5.65452,255.51544,-0.96822,-0.25012,0.0844,10.1169,42.32411,1.14356,-1.82836,slope,0.07822,0.08383,0.08925,0.12608,0.17387,0.19046,0.17635,,0.24672,,0.32794,-0.16633,-0.49278,0.13784,1.14101,,,1.39904,1.31975,1.37905,1.51063,-10.19504,-22.30997,12.11493,-16.25251,0.45923,0.3809,1.22642,0.8293,0.3817
SAU-004344,21.82779,80.24927,BLK_017_017,ZONE_03,UNLABELLED,not_documented,ok,2.53735,2.32393,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.2873,1.976,1746.89673,low (greenschist),fresh / slightly weathered,0.4563,0.6683,,2.57729,1.75638,0.36963,1.33938,0.592,not_applicable,10.54015,NNE-SSW,1.26981,0.191,492.13461,11.58191,141.75243,0.61906,-0.78534,-0.3172,11.75982,56.69207,1.79708,3.87144,,0.04756,0.06957,0.0364,0.06528,0.22344,0.24132,0.29603,0.28393,0.18369,0.12523,0.78101,0.23418,-0.4506,-0.2191,0.76535,1.46682,0.42303,0.62051,0.64056,3.42279,3.69669,-9.06156,-19.43593,10.37437,-14.24874,0.95591,0.80672,0.29547,0.7916,0.4423
SAU-004345,21.79752,80.09356,BLK_016_014,ZONE_03,UNLABELLED,not_documented,ok,2.74396,7.85917,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.5006,0.62647,1837.38144,high (upper amphibolite),fresh / slightly weathered,0.5936,0.3457,0.89901,0.17196,2.8127,1.49777,0.29196,0.4991,not_applicable,25.30737,NW-SE,0.61272,0.6528,457.86116,8.2443,37.04082,0.60238,0.79821,0.1104,16.64372,63.55356,1.18551,0.97722,slope,0.09647,0.09509,0.10008,0.13693,0.17707,0.21271,0.25363,0.23309,0.15196,0.05681,0.43411,0.25067,-0.2302,-0.16285,1.03742,2.67488,0.22399,0.59914,0.71991,1.29314,1.55342,-6.37898,-17.55597,11.17699,-11.96747,1.21895,1.1706,0.74731,0.892,0.5141
SAU-004346,21.51718,79.69563,BLK_011_006,ZONE_09,UNLABELLED,not_documented,ok,3.2795,3.63311,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.6384,4.55251,2057.57778,high (upper amphibolite),highly weathered / lateritic,0.349,0.7066,2.66103,1.60167,1.41003,1.31812,3.61628,0.6485,not_applicable,2.89779,NNE-SSW,2.82004,0.719,342.82603,1.86491,334.6094,-0.42879,0.90341,0.1814,12.17043,50.02391,1.95581,-3.07628,valley,0.08179,0.06017,0.1104,0.11665,0.12118,0.19693,0.157,0.18981,0.31506,0.21491,0.17427,-0.33483,-0.67929,0.28102,1.3498,1.46601,1.36885,2.00675,1.78173,1.03883,1.68821,-12.49011,-22.91127,10.42116,-17.70069,0.88378,0.58679,0.3457,0.4288,0.3851
SAU-004347,21.52258,79.73228,BLK_011_007,ZONE_09,UNCERTAIN,ambiguous,ok,2.00311,3.80487,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.3298,1.20302,1603.30039,high (upper amphibolite),moderately weathered,0.1,0.3335,2.43862,2.33216,0.73529,0.78928,7.39685,0.5282,not_applicable,3.14979,NNE-SSW,2.05966,0.2158,414.89007,6.68354,345.38706,-0.25229,0.96765,-0.0614,5.46943,30.1753,1.86514,-4.81506,valley,0.06589,0.04997,0.0678,0.09076,0.13307,0.16673,0.22432,0.18239,0.37869,0.30276,0.53581,-0.256,-0.76685,0.21214,1.02899,1.25079,1.34968,1.68817,1.53851,1.46617,1.83704,-11.29699,-21.81899,10.522,-16.55799,0.30651,0.41105,0.73677,0.9252,0.4608
SAU-004348,21.54154,79.76016,BLK_011_008,ZONE_09,POSITIVE,associated,ok,3.18515,1.28197,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9753,0.59274,1649.66252,granulite facies,moderately weathered,0.5446,0.6913,1.8755,1.34304,2.1179,1.07233,10.5407,0.6425,not_applicable,2.77753,E-W,2.34498,0.2917,407.20671,5.55436,347.93995,-0.20894,0.97793,0.2437,7.02305,38.4687,2.07931,-5.02154,valley,0.08902,0.09899,0.13798,0.14764,0.14564,0.19147,0.14955,0.1823,0.36331,0.24845,0.04024,-0.4168,-0.57175,0.35509,1.54999,1.46231,1.66132,2.42935,2.10123,0.98645,1.29687,-13.16377,-22.07046,8.90669,-17.61712,0.19168,0.36809,1.66326,0.4362,0.3895
SAU-004349,21.90221,80.48283,BLK_019_022,ZONE_06,UNLABELLED,not_documented,ok,2.31825,7.61247,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),Granite gneiss / migmatite (basement),0.0913,1.96898,,granulite facies,highly weathered / lateritic,0.4427,0.4351,0.97894,0.72332,2.99753,,10.52277,0.4864,limb,6.25979,NW-SE,0.18252,0.85,414.23968,8.6408,82.09574,0.9905,0.13752,,12.06416,40.82788,1.53051,-0.23123,slope,0.0624,0.06797,0.09586,0.11282,0.14389,0.1822,0.17802,0.1861,0.28077,0.1715,0.29999,-0.22396,-0.6102,0.22074,1.53622,1.63714,0.96337,1.57718,1.56655,1.27539,1.61496,-9.92633,-23.02388,13.09755,-16.4751,0.34787,0.81471,0.16426,0.8359,0.4127
SAU-004350,21.55558,79.70145,BLK_012_007,ZONE_09,POSITIVE,associated,ok,2.73556,0.98829,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.2395,0.29161,2047.70568,granulite facies,fresh / slightly weathered,0.6256,0.504,2.8388,2.18593,1.65262,1.15809,5.71987,0.6991,hinge/closure,0.70829,E-W,0.79439,0.3678,362.76697,2.02922,344.05503,-0.27471,0.96153,0.3478,11.42872,42.50237,1.46146,-4.41056,valley,0.08069,0.06121,0.1422,0.12469,0.11705,0.11959,0.10086,0.11852,0.34009,0.24321,-0.17008,-0.54253,-0.69494,0.45303,1.7623,1.39834,2.41136,3.3719,2.65651,0.93873,0.9591,-11.29498,-23.13051,11.83553,-17.21275,0.74068,0.45763,0.19617,0.0821,0.5083
SAU-004351,21.85109,80.25578,BLK_018_018,ZONE_03,UNLABELLED,not_documented,ok,2.62581,2.84361,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.3744,3.15854,1760.74685,low (greenschist),highly weathered / lateritic,0.4614,0.4909,3.78594,2.85681,1.90716,1.13941,3.80483,0.5816,not_applicable,10.5671,ENE-WSW,3.0574,0.0734,464.50255,8.38297,150.00907,0.49986,-0.8661,-0.3896,16.40303,62.1663,1.67923,4.27814,ridge,0.02534,0.08022,0.005,0.08804,0.29874,0.34065,0.37238,0.3833,0.1822,0.12422,0.9735,0.34293,-0.38861,-0.35991,0.19732,1.46675,0.33358,0.48929,0.47068,3.39323,3.86926,-6.80257,-13.9217,7.11914,-10.36213,1.10115,0.84724,-0.16006,0.3725,0.3959
SAU-004352,21.7886,80.20202,BLK_016_017,ZONE_03,POSITIVE,associated,ok,2.61906,2.33845,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.2756,1.16964,2396.61486,low (greenschist),moderately weathered,0.6558,0.6292,1.93594,1.27211,1.7344,1.47678,0.78474,0.6875,not_applicable,14.12196,ENE-WSW,0.33135,0.4865,485.29917,7.81841,125.05219,0.81863,-0.57432,-0.2752,4.59175,22.22642,0.96537,0.04397,slope,0.06477,0.07243,0.08615,0.10216,0.21032,0.23279,0.26181,0.25806,0.23742,0.14568,0.50483,0.04886,-0.53248,-0.00463,1.33009,1.62974,0.55643,0.90684,0.99078,2.05873,2.27868,-12.44177,-21.04662,8.60485,-16.7442,0.27673,0.23062,0.26245,0.8117,0.4397
SAU-004353,21.6437,79.85693,BLK_013_010,ZONE_05,UNLABELLED,not_documented,ok,2.16555,8.46636,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),Granite gneiss / migmatite (basement),,1.45842,2568.07849,high (upper amphibolite),fresh / slightly weathered,0.3818,0.1909,2.10795,1.56413,1.44702,0.35379,6.60478,0.4822,not_applicable,10.23778,NW-SE,1.57274,0.5847,448.96447,7.65803,282.14639,-0.97761,0.21041,-0.1915,10.27854,54.0617,2.02147,-1.53294,slope,0.04784,0.07861,0.074,0.09984,0.23198,0.2723,0.28435,,0.23673,0.16671,0.587,0.09139,-0.50143,-0.03338,1.54682,1.42001,0.58628,0.83253,0.9354,2.32352,2.72736,-11.59675,-19.18826,7.59151,-15.39251,0.90346,0.93986,0.59326,1.0,0.4109
SAU-004354,21.81474,80.17057,BLK_017_016,ZONE_03,UNLABELLED,not_documented,ok,3.08268,2.07683,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],1.0,0.30346,2055.08477,low (greenschist),moderately weathered,0.4467,0.5999,1.84648,0.40815,2.15392,0.49091,4.13899,0.5423,not_applicable,18.02316,NNE-SSW,0.88816,0.4512,467.6367,3.40564,106.27687,0.95992,-0.28028,-0.2492,9.2373,42.47136,1.78882,5.96688,ridge,0.05072,0.08049,0.04676,0.07949,0.27744,0.31836,,0.34861,0.15183,0.12653,,,-0.30708,,0.92192,1.19995,,,,3.49025,4.00503,-11.11759,-15.85101,4.73341,-13.4843,0.11028,0.61834,,0.5139,0.4424
SAU-004355,21.54915,79.70293,BLK_011_007,ZONE_09,POSITIVE,associated,ok,2.72338,0.92909,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.4887,0.00414,1777.21106,high (upper amphibolite),moderately weathered,0.4125,0.3213,2.40619,1.46536,2.15474,1.32772,5.38592,0.7378,not_applicable,0.01307,E-W,4.93271,0.2893,372.07281,2.21338,343.97173,-0.27611,0.96113,-0.0276,10.52034,40.46506,1.6711,-2.89266,slope,0.06511,0.06438,,0.10095,0.07233,0.05767,0.08744,0.10164,0.34094,0.27041,,-0.59176,-0.68233,,,1.26083,3.09252,3.89913,,0.71649,0.57127,-16.08618,-24.76364,8.67746,-20.42491,0.05,0.28005,,0.2715,0.5803
SAU-004356,21.85374,79.98818,BLK_018_012,ZONE_03,UNLABELLED,not_documented,ok,3.77421,8.79426,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.5461,2.44463,1762.2372,granulite facies,moderately weathered,0.1927,0.7543,2.95347,2.28199,1.36884,0.33706,2.70171,1.0,not_applicable,30.75344,NW-SE,11.83843,0.2534,345.8134,15.22536,17.43592,0.29964,0.95405,0.5096,12.43609,55.96413,1.24359,-6.82082,valley,0.04648,0.03827,0.01244,0.06884,0.16665,0.23002,0.22866,0.26564,0.22611,0.17848,0.89681,0.00561,-0.71049,-0.07123,0.26764,1.26686,0.78055,0.98885,0.86701,2.42083,3.34137,-8.33167,-17.62246,9.29078,-12.97707,0.58141,0.63666,1.08649,,0.2649
SAU-004357,21.60858,79.63484,BLK_013_005,ZONE_09,UNLABELLED,not_documented,ok,1.8518,8.9152,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),Granite gneiss / migmatite (basement),0.122,1.2996,2604.86913,granulite facies,fresh / slightly weathered,0.0,0.4556,1.05841,0.89811,0.99154,0.94257,10.10784,0.4733,not_applicable,9.59873,NNE-SSW,21.43434,0.5491,392.74523,5.02123,258.87669,-0.98121,-0.19292,-0.2339,8.90029,42.21852,1.83614,3.01662,ridge,0.07245,0.09092,0.06351,0.09417,0.24405,0.27268,,0.28393,0.15592,0.10241,,,-0.26333,,0.8766,1.52251,,,,2.59159,2.89561,-11.31164,-17.20859,5.89694,-14.26012,0.50757,0.77016,-1.12191,0.7044,0.3285
SAU-004358,21.68003,79.75074,BLK_014_008,ZONE_05,UNLABELLED,not_documented,value_corrected_physical_bound,3.40808,2.06986,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9196,0.08135,1908.42554,medium (lower amphibolite),highly weathered / lateritic,0.0147,0.4572,1.04459,0.67831,2.00779,1.49812,15.87835,0.7138,not_applicable,10.14587,NNE-SSW,3.28719,0.1455,325.90203,2.62693,290.71011,-0.93538,0.35364,-0.5127,12.00991,55.68265,1.27534,3.73802,ridge,0.06868,0.08876,,0.10678,0.20254,0.24307,0.262,0.25619,0.29162,0.25766,,-0.0535,-0.53331,,,1.1318,0.98344,1.11305,,1.8968,2.27636,-11.03442,-16.53138,5.49697,-13.7829,1.01104,0.78718,0.20122,0.677,0.3066
SAU-004359,21.86297,80.40538,BLK_018_021,ZONE_06,UNLABELLED,not_documented,ok,3.03077,13.59461,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.2618,5.42035,2241.96754,high (upper amphibolite),moderately weathered,0.4488,0.3864,1.23231,0.85658,3.23987,1.56081,3.61258,0.5278,not_applicable,0.87283,NNE-SSW,6.26094,0.3312,377.69392,7.76905,108.80841,0.9466,-0.3224,0.253,4.50037,19.22462,1.18483,-2.74234,slope,0.05912,0.06062,0.05573,0.0712,0.20053,0.24492,,0.24547,0.10598,0.08175,,,-0.27227,,0.94266,1.29639,,,,2.81643,3.43989,-10.31922,-20.55469,10.23547,-15.43696,0.43385,0.40994,-0.60921,0.7965,0.2653
SAU-004360,21.75932,80.04328,BLK_016_013,ZONE_03,UNLABELLED,not_documented,ok,3.07369,3.32275,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss","Marble, calc-silicate rock, granulite/gneiss",0.277,1.16571,1604.06734,granulite facies,highly weathered / lateritic,0.1908,0.2518,4.65763,4.1407,1.50899,0.8025,0.56587,0.7007,not_applicable,30.10329,E-W,1.25978,0.1314,,11.4696,251.1092,-0.94614,-0.32377,0.2656,0.5,15.06467,1.9796,-2.75977,slope,0.04244,0.10011,0.04868,0.11748,0.30326,0.35813,0.36634,0.35115,0.07552,0.005,0.76541,0.65817,0.14001,-0.53394,1.14703,15.104,0.01365,0.20615,0.30383,2.58138,3.04843,-11.86096,-14.76363,2.90267,-13.3123,0.05,0.02,,0.0589,0.5447
SAU-004361,21.82775,80.24637,BLK_017_017,ZONE_03,UNLABELLED,not_documented,ok,1.88498,2.08976,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.5812,0.24757,1827.87072,high (upper amphibolite),fresh / slightly weathered,0.4467,0.2521,3.49004,2.61218,1.38644,0.65767,1.48198,0.6646,not_applicable,10.82881,NNE-SSW,0.95938,0.1975,491.13979,11.22864,141.30082,0.62523,-0.78044,-0.4865,9.56938,48.34055,0.7571,2.40741,slope,0.05486,0.07879,0.06705,0.09718,0.2149,0.25053,0.29099,,0.20387,0.13233,0.62546,0.17605,-0.44251,-0.12149,1.2222,1.54062,0.45476,0.70061,0.78335,2.21136,2.578,-9.15056,-17.58123,8.43067,-13.36589,0.6471,0.45925,-0.8463,0.6149,0.3132
SAU-004362,21.95925,80.42075,BLK_020_021,ZONE_06,UNCERTAIN,ambiguous,ok,2.63155,5.23632,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,Marble and calc-silicate rock,0.6309,0.00352,1646.44298,high (upper amphibolite),moderately weathered,0.0242,0.4507,2.73273,2.12149,2.27721,1.38481,8.51074,0.4982,not_applicable,2.45071,ENE-WSW,1.37875,0.3322,388.96816,7.17697,31.67714,0.52513,0.85102,-0.1324,11.71209,50.48376,2.32207,0.74397,,0.02165,0.0554,0.03507,0.0539,0.22766,0.27564,0.29997,0.31245,0.14219,0.11552,0.79065,0.35684,-0.43924,-0.28937,1.61986,1.23087,0.38511,0.47401,0.55115,4.22375,5.11391,-12.89181,-17.47176,4.57995,-15.18178,0.75753,0.50693,-0.33625,0.492,0.351
SAU-004363,21.78994,80.01886,BLK_016_013,ZONE_03,UNLABELLED,not_documented,ok,3.19896,1.10567,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.8066,0.29231,1614.4899,low (greenschist),moderately weathered,0.6562,0.8195,2.43086,1.26836,2.70313,1.1452,2.85714,0.8198,not_applicable,32.83996,NNE-SSW,0.40797,0.3343,329.92532,9.82793,313.72001,-0.72273,0.69113,1.1281,0.5,21.08089,1.34283,-16.54305,valley,0.07613,0.08926,0.10673,0.13199,0.21788,0.22799,0.25448,0.26067,0.16939,0.09264,0.40904,0.20075,-0.3098,-0.08981,1.40194,1.82848,0.36404,0.66563,0.83518,1.65073,1.72733,-14.89225,-19.18937,4.29712,-17.04081,0.05,0.02,-0.05277,0.3478,0.4741
SAU-004364,21.53822,79.70284,BLK_011_007,ZONE_09,POSITIVE,associated,ok,3.5204,1.59177,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],,1.48958,1653.66889,high (upper amphibolite),fresh / slightly weathered,0.3064,0.5857,1.35327,0.33185,2.05917,0.86824,4.76663,0.6132,hinge/closure,1.20272,NNE-SSW,0.28455,0.5033,,2.84639,342.54034,-0.30003,0.95393,0.1714,11.85298,53.71614,1.92527,-1.73589,slope,0.08594,0.07692,0.11941,0.10035,0.10819,0.10351,0.10232,0.10612,0.34735,0.24461,-0.07708,-0.54491,-0.6374,0.42518,1.38946,1.42002,2.39064,3.39474,2.47934,1.07813,1.03149,-11.47969,-23.00127,11.52158,-17.24048,0.9048,1.00608,,0.7913,0.621
SAU-004365,21.77952,79.97714,BLK_016_012,ZONE_03,UNLABELLED,not_documented,ok,3.95749,4.43747,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.948,0.48082,1789.02925,high (upper amphibolite),fresh / slightly weathered,0.5875,0.7974,2.74239,0.8511,2.01713,0.94019,3.21192,1.0,not_applicable,29.48718,NW-SE,1.00927,0.6334,316.231,18.7388,312.63917,-0.73563,0.67738,1.1341,13.64295,63.80843,1.60135,-16.87018,valley,0.04275,0.05778,0.07898,0.10186,0.15159,0.17844,0.18481,0.21735,0.17625,0.10586,0.40119,0.02371,-0.50622,0.05731,1.84749,1.66493,0.5728,0.95368,1.12159,1.48822,1.75182,-10.18751,-21.11548,10.92797,-15.6515,0.60425,0.98589,-0.61393,0.6853,0.4646
SAU-004366,21.78623,80.14863,BLK_016_015,ZONE_03,UNCERTAIN,ambiguous,ok,3.00515,3.87028,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.0,1.77821,2354.00701,medium (lower amphibolite),moderately weathered,0.377,0.6123,4.96613,3.37852,1.93235,0.8688,3.90064,0.507,limb,19.47498,NW-SE,0.4398,0.2452,519.97487,5.56163,85.71826,0.99721,0.07466,-0.4079,8.14592,34.92233,0.87591,2.60414,slope,0.05636,0.08907,0.07055,0.1,0.21015,0.26857,0.27904,0.30021,0.13531,0.10795,0.59638,0.34688,-0.20608,-0.23933,1.25177,1.25345,0.38686,0.48491,0.61377,2.1015,2.6857,-10.71148,-19.72231,9.01083,-15.21689,0.05,0.78299,-0.30119,1.0,0.2412
SAU-004367,21.9542,80.40654,BLK_020_021,ZONE_06,UNLABELLED,not_documented,ok,3.79355,6.79945,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],1.0,0.63788,2023.08486,high (upper amphibolite),highly weathered / lateritic,0.2109,0.6225,2.32186,1.60746,2.14784,0.67357,7.78058,0.2942,not_applicable,3.17084,N-S,3.19103,0.3233,405.1275,5.24178,25.54338,0.43119,0.90226,0.3893,7.66951,44.59133,1.6818,-3.81694,valley,0.02081,0.05568,0.01765,0.03253,0.20212,0.23126,0.2876,0.25117,,0.13719,0.88436,,,,0.84815,,0.47702,,,6.21334,7.10913,-11.53412,-17.67158,6.13746,-14.60285,0.2387,0.06856,-0.7408,0.4345,0.1937
SAU-004368,21.72069,79.86223,BLK_015_010,ZONE_05,POSITIVE,associated,ok,3.32578,1.26849,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.9416,0.22985,1794.98702,high (upper amphibolite),highly weathered / lateritic,0.6825,0.5324,1.62799,0.61025,2.26278,0.96163,5.9341,0.519,not_applicable,16.89942,ENE-WSW,1.80209,0.2733,269.31538,6.8322,259.80385,-0.98421,-0.17702,0.3138,9.7179,50.09832,1.99429,-4.3075,valley,0.0884,0.10698,0.14011,0.16203,0.15176,0.18454,0.17536,0.18409,0.24614,0.15701,0.11174,-0.16792,-0.39409,0.18844,1.58495,1.56767,0.89536,1.40363,1.4644,0.93662,1.13892,-13.40898,-20.49504,7.08607,-16.95201,0.33779,0.19638,0.58667,0.4532,0.4127
SAU-004369,21.83106,80.29488,BLK_017_018,ZONE_03,UNLABELLED,not_documented,ok,3.32093,6.68732,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,Quartz-muscovite schist and gneiss,0.4573,2.93244,1913.76981,high (upper amphibolite),fresh / slightly weathered,0.1019,0.4338,2.08666,0.94888,1.54292,0.93583,0.68911,0.4552,limb,6.07896,NW-SE,0.46487,0.3557,382.56714,7.63045,145.59902,0.56498,-0.8251,0.1071,18.79221,67.46175,1.23545,2.3505,slope,0.005,0.08795,0.005,0.03469,0.29891,0.34295,0.39184,0.38214,0.07929,0.1321,0.9748,0.66341,0.05178,-0.64962,1.0,0.60023,0.33713,0.20235,0.2124,8.6166,9.88613,-5.81438,-11.75576,5.94138,-8.78507,1.23545,0.96487,-0.28326,0.3662,0.4922
