sample_id,name,latitude,longitude,coordinate_precision,district,state,locality_type,label_status,geological_group,formation,host_rock,ore_type,structural_notes,geological_age,metamorphic_grade,distance_to_nearest_known_mn_km,fault_lineament_distance_km,lineament_density_per_sqkm,structural_intersection_flag,elevation_m,slope_deg,aspect_deg,curvature,drainage_density,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B11,s2_B12,ndvi,ndmi,bsi,iron_oxide_index,s1_VV,s1_VH,notes,data_source,source_url
66,background_grid_0055,20.8,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,110.96,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
67,background_grid_0056,20.8,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,118.06,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
68,background_grid_0057,20.8,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,121.01,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
69,background_grid_0058,20.8,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,124.65,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
70,background_grid_0059,20.8,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,129.02,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
71,background_grid_0060,20.8,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,134.06,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
72,background_grid_0061,20.9,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,61.35,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
73,background_grid_0062,20.9,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,57.73,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
74,background_grid_0063,20.9,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,55.84,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
75,background_grid_0064,20.9,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,55.84,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
76,background_grid_0065,20.9,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,57.73,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
77,background_grid_0066,20.9,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,61.35,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
78,background_grid_0067,20.9,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,66.4,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
79,background_grid_0068,20.9,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,72.28,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
80,background_grid_0069,20.9,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,73.11,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
81,background_grid_0070,20.9,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,75.36,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
82,background_grid_0071,20.9,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,78.93,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
83,background_grid_0072,20.9,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,83.63,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
84,background_grid_0073,20.9,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,89.29,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
85,background_grid_0074,20.9,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,95.75,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
86,background_grid_0075,20.9,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,102.85,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
87,background_grid_0076,20.9,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,107.39,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
88,background_grid_0077,20.9,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,110.51,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
89,background_grid_0078,20.9,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,114.48,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
90,background_grid_0079,20.9,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,119.22,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
91,background_grid_0080,20.9,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,124.64,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
92,background_grid_0081,21.0,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,51.48,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
93,background_grid_0082,21.0,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,47.12,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
94,background_grid_0083,21.0,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,44.78,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
95,background_grid_0084,21.0,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,44.78,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
96,background_grid_0085,21.0,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,47.12,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
97,background_grid_0086,21.0,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,51.48,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
98,background_grid_0087,21.0,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,57.4,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
99,background_grid_0088,21.0,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,61.16,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
100,background_grid_0089,21.0,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,62.13,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
101,background_grid_0090,21.0,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,64.77,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
102,background_grid_0091,21.0,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,68.88,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
103,background_grid_0092,21.0,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,74.22,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
104,background_grid_0093,21.0,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,80.55,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
105,background_grid_0094,21.0,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,87.65,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
106,background_grid_0095,21.0,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,94.25,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
107,background_grid_0096,21.0,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,96.68,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
108,background_grid_0097,21.0,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,100.13,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
109,background_grid_0098,21.0,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,104.5,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
110,background_grid_0099,21.0,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,109.67,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
111,background_grid_0100,21.0,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,115.54,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
112,background_grid_0101,21.1,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,42.24,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
113,background_grid_0102,21.1,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
114,background_grid_0103,21.1,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,33.76,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
115,background_grid_0104,21.1,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,33.76,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
116,background_grid_0105,21.1,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
117,background_grid_0106,21.1,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,42.24,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
118,background_grid_0107,21.1,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,49.28,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
119,background_grid_0108,21.1,79.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,50.04,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
120,background_grid_0109,21.1,79.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,51.23,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
121,background_grid_0110,21.1,79.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,54.39,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
122,background_grid_0111,21.1,80.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,59.23,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
123,background_grid_0112,21.1,80.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,65.36,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
124,background_grid_0113,21.1,80.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,72.45,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
125,background_grid_0114,21.1,80.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,80.27,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
126,background_grid_0115,21.1,80.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,83.34,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
127,background_grid_0116,21.1,80.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,86.08,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
128,background_grid_0117,21.1,80.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,89.94,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
129,background_grid_0118,21.1,80.7,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,94.77,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
130,background_grid_0119,21.1,80.8,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,100.44,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
131,background_grid_0120,21.1,80.9,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,106.47,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
132,background_grid_0121,21.2,79.0,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,34.14,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
133,background_grid_0122,21.2,79.1,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,27.13,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
134,background_grid_0123,21.2,79.2,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,22.83,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
135,background_grid_0124,21.2,79.3,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,22.83,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
136,background_grid_0125,21.2,79.4,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,27.13,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
137,background_grid_0126,21.2,79.5,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,34.14,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
138,background_grid_0127,21.2,79.6,"synthetic_grid_point (real coordinates, not a documented locality)",,"MP/Maharashtra (Sausar belt corridor, district not assigned - no offline reverse geocoder available)",background_grid_point,background_unlabeled,,,,,,,,40.12,,,,,,,,,,,,,,,,,,,,,,,,,Unlabeled background point for prospectivity modeling; geology/terrain/spectral attributes NOT populated - see accompanying README,Generated grid (this session),
