latitude,longitude,geological_group,geological_formation,stratigraphic_unit,lithology,metamorphic_grade,weathering_class,fold_position,structural_orientation
21.73049,79.80031,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",granulite facies,moderately weathered,limb,N-S
21.8209,80.22425,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,N-S
21.6626,79.79473,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,moderately weathered,not_applicable,ENE-WSW
21.76647,79.9544,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
21.78048,80.03449,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.69951,79.7359,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),highly weathered / lateritic,limb,N-S
21.55336,79.75921,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,limb,ENE-WSW
21.80143,80.19903,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),fresh / slightly weathered,not_applicable,N-S
21.82182,80.24374,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),fresh / slightly weathered,not_applicable,E-W
21.69693,79.92188,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,limb,NW-SE
21.83287,80.28024,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),moderately weathered,not_applicable,N-S
21.84703,80.19044,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.80372,80.05299,Sausar Group,,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,moderately weathered,not_applicable,NNE-SSW
21.83926,80.23197,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,limb,NNE-SSW
21.95539,80.46352,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.74393,79.84192,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.82552,80.24,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.75333,79.96318,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.81272,80.22732,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),moderately weathered,not_applicable,N-S
21.68065,79.74387,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),highly weathered / lateritic,not_applicable,NW-SE
21.83938,80.27358,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.54964,79.70511,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.56102,79.70183,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.95051,80.44771,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,limb,ENE-WSW
21.76415,80.15286,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,fresh / slightly weathered,not_applicable,ENE-WSW
21.80764,80.16006,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.8486,80.21376,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,moderately weathered,not_applicable,NW-SE
21.52684,79.70714,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),highly weathered / lateritic,,ENE-WSW
21.79561,80.16143,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",granulite facies,highly weathered / lateritic,not_applicable,NW-SE
21.53821,79.72876,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,NNE-SSW
21.99987,80.42957,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,ENE-WSW
21.52275,79.68978,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",low (greenschist),moderately weathered,not_applicable,E-W
21.78809,80.15413,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.5492,79.72456,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),highly weathered / lateritic,hinge/closure,ENE-WSW
21.80883,80.20769,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,NW-SE
21.54028,79.75026,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,E-W
21.9153,80.46309,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),granulite facies,moderately weathered,not_applicable,E-W
21.8072,80.10583,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,low (greenschist),moderately weathered,not_applicable,N-S
21.5409,79.76816,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,granulite facies,fresh / slightly weathered,limb,NW-SE
21.79615,80.22355,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),,not_applicable,ENE-WSW
21.54208,79.77256,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),fresh / slightly weathered,not_applicable,ENE-WSW
21.97665,80.37973,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),highly weathered / lateritic,not_applicable,E-W
21.71653,79.85857,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,moderately weathered,not_applicable,NNE-SSW
21.67236,79.7982,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.86472,80.25,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),fresh / slightly weathered,not_applicable,NNE-SSW
21.81907,80.19735,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,moderately weathered,not_applicable,ENE-WSW
21.55904,79.63909,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,not_applicable,E-W
21.77914,80.18098,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.96929,80.38324,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),highly weathered / lateritic,not_applicable,NNE-SSW
21.77377,80.25391,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),moderately weathered,not_applicable,NW-SE
21.75194,80.24275,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),highly weathered / lateritic,limb,E-W
21.83245,79.88603,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),fresh / slightly weathered,not_applicable,NW-SE
21.58565,79.78656,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,medium (lower amphibolite),highly weathered / lateritic,not_applicable,N-S
21.5196,79.74345,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,granulite facies,fresh / slightly weathered,not_applicable,N-S
21.56932,79.74374,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),moderately weathered,not_applicable,NNE-SSW
21.81909,80.27955,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),moderately weathered,limb,
21.88522,80.55344,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,N-S
21.80335,80.1717,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,limb,NW-SE
21.76009,79.98161,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.67594,79.73627,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.96402,80.4761,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.81399,80.15674,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,fresh / slightly weathered,not_applicable,ENE-WSW
21.53936,79.82273,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),granulite facies,highly weathered / lateritic,not_applicable,NW-SE
21.54845,79.73246,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",low (greenschist),moderately weathered,hinge/closure,N-S
21.55432,79.76643,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),fresh / slightly weathered,limb,NNE-SSW
21.76505,80.09319,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,limb,NNE-SSW
21.53631,79.6965,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",low (greenschist),fresh / slightly weathered,limb,E-W
21.83903,80.24187,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.6918,79.74305,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.85614,80.18703,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.77362,80.11392,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),moderately weathered,limb,ENE-WSW
21.95609,80.48612,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,not_applicable,NNE-SSW
21.76808,80.21428,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
21.71866,79.73551,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",low (greenschist),highly weathered / lateritic,limb,E-W
21.71638,79.85317,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),moderately weathered,not_applicable,
21.73909,80.07644,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),highly weathered / lateritic,not_applicable,N-S
21.66445,79.88477,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.8135,80.19667,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.53751,79.80981,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,limb,N-S
21.80848,80.15232,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,limb,E-W
21.87052,80.21447,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.76146,80.02553,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.70578,79.72226,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,NW-SE
21.7415,79.92939,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),moderately weathered,not_applicable,ENE-WSW
21.67853,79.85846,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),highly weathered / lateritic,not_applicable,N-S
22.0278,80.44842,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,,N-S
21.98991,80.50838,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),fresh / slightly weathered,limb,NNE-SSW
21.75324,80.22457,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),,medium (lower amphibolite),highly weathered / lateritic,limb,N-S
21.69169,79.71062,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.70412,79.81745,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),highly weathered / lateritic,limb,N-S
21.96922,80.47869,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,moderately weathered,,NW-SE
21.80258,80.16036,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.79839,80.0638,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,limb,NNE-SSW
21.64741,79.71628,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.79693,80.18217,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,high (upper amphibolite),moderately weathered,not_applicable,N-S
21.8256,80.193,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,not_applicable,
21.95942,80.43147,Sausar Group,Mansar Formation,Mansar Fm - non-ore interband,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,ENE-WSW
21.71133,79.70287,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",medium (lower amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.78309,80.03018,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,granulite facies,moderately weathered,not_applicable,NNE-SSW
21.8915,80.20858,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),fresh / slightly weathered,not_applicable,N-S
21.49262,79.85061,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,not_applicable,NNE-SSW
21.89738,80.21099,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",,fresh / slightly weathered,not_applicable,E-W
21.7539,79.85619,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,E-W
21.51743,79.84509,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium,low (greenschist),moderately weathered,not_applicable,E-W
21.69716,79.71442,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),moderately weathered,not_applicable,N-S
21.78152,80.23335,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.94836,80.49468,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),moderately weathered,not_applicable,ENE-WSW
21.5672,79.59616,Marginal Cover (Deccan Trap / Quaternary Alluvium),Deccan/Alluvial cover,Deccan/Alluvial cover (undifferentiated),Basaltic/lateritic cover and alluvium,high (upper amphibolite),highly weathered / lateritic,not_applicable,NW-SE
21.55981,79.68212,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,medium (lower amphibolite),highly weathered / lateritic,limb,NW-SE
21.85127,80.24125,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.62419,79.7836,Amgaon Gneissic Complex,Amgaon Gneissic Complex,Amgaon Gneissic Complex (undifferentiated),Granite gneiss / migmatite (basement),high (upper amphibolite),moderately weathered,not_applicable,NNE-SSW
21.85536,80.14396,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,granulite facies,highly weathered / lateritic,not_applicable,NNE-SSW
21.79161,80.00804,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,limb,
21.95212,80.47626,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,high (upper amphibolite),,limb,ENE-WSW
22.01043,80.45696,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",granulite facies,moderately weathered,not_applicable,NNE-SSW
21.55489,79.7449,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,moderately weathered,hinge/closure,ENE-WSW
21.71094,79.76171,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,not_applicable,NW-SE
21.80369,80.01661,,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.65216,79.73793,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",high (upper amphibolite),highly weathered / lateritic,limb,N-S
21.74662,80.16725,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,low (greenschist),moderately weathered,not_applicable,NW-SE
21.71609,79.68091,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),highly weathered / lateritic,limb,NW-SE
21.98828,80.39715,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,limb,ENE-WSW
21.79704,80.18708,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,medium (lower amphibolite),moderately weathered,limb,ENE-WSW
21.7898,80.00656,,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),moderately weathered,limb,NNE-SSW
21.5331,79.6908,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,limb,NNE-SSW
21.61445,79.70779,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,NW-SE
21.75823,79.7571,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,E-W
21.68092,79.71907,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.76088,79.90654,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),moderately weathered,limb,NNE-SSW
21.53302,79.72163,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",granulite facies,moderately weathered,limb,ENE-WSW
21.53706,79.72364,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.56842,79.76501,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),moderately weathered,hinge/closure,NNE-SSW
21.96977,80.49943,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,low (greenschist),highly weathered / lateritic,not_applicable,NW-SE
21.82209,80.21892,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon I (lower),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),fresh / slightly weathered,not_applicable,NNE-SSW
21.70606,79.86927,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.84247,80.18156,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon III (upper),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,high (upper amphibolite),highly weathered / lateritic,limb,E-W
21.83047,80.18864,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.98843,80.49296,Sausar Group,Sitasaongi Formation,Sitasaongi Formation (undifferentiated),Quartz-muscovite schist and gneiss,high (upper amphibolite),moderately weathered,limb,N-S
21.6699,79.8324,Sausar Group,Junewani Formation,,Biotite-muscovite schist/gneiss and biotite granulite,low (greenschist),moderately weathered,not_applicable,ENE-WSW
21.50791,79.75429,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),,low (greenschist),highly weathered / lateritic,not_applicable,ENE-WSW
21.54802,79.75134,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,fresh / slightly weathered,limb,N-S
21.57406,79.70828,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,fresh / slightly weathered,not_applicable,NNE-SSW
